cod_reg;region;cod_prov;provincia;cod_com;comuna;clasf_pnd;pob_2017;bs03;bs04;bs07;bs11;bs12;bs13;bs14;bs16;bs17;bs21;oe01;oe12;oe13;oe15;oe16;sm02;sm06;sm08;sm11;ci01;ci02;ci05;ci06;ci07
1;TARAPACÁ;14;TAMARUGAL;1401;POZO ALMONTE;RURAL;15711;15,29;42,91;65,39;26,07;70,75;36,42;81,51;974,63;2134,10;16,33;41,20;1,12;1,68;70,25;505990,79;1201,22;25,00;NA;NA;0,34;14,90;0,17;0,39;100,00
1;TARAPACÁ;14;TAMARUGAL;1402;CAMIÑA;RURAL;1250;37,76;49,42;291,51;NA;71,84;NA;92,64;578,03;794,80;47,40;97,70;NA;0,00;29,19;NA;NA;6,25;NA;NA;NA;33,96;0,50;1,45;44,44
1;TARAPACÁ;14;TAMARUGAL;1403;COLCHANE;RURAL;1728;53,16;97,26;431,52;NA;26,46;NA;85,63;440,81;3463,48;60,92;79,97;NA;0,00;24,53;NA;NA;0,00;NA;NA;NA;42,19;0,17;0,63;20,00
1;TARAPACÁ;14;TAMARUGAL;1404;HUARA;RURAL;2730;57,82;102,20;175,52;49,07;53,00;18,24;90,89;657,25;1807,43;68,94;79,33;NA;3,29;57,81;NA;1261,57;5,00;NA;NA;0,66;71,31;0,33;0,99;100,00
1;TARAPACÁ;14;TAMARUGAL;1405;PICA;RURAL;9296;24,60;30,43;135,03;47,98;68,77;37,24;81,61;706,66;1018,90;13,01;34,32;1,64;1,64;46,80;378546,76;817,47;66,67;NA;NA;1,81;25,64;0,50;0,66;100,00
2;ANTOFAGASTA;21;ANTOFAGASTA;2102;MEJILLONES;RURAL;13467;6,95;10,01;9,63;18,52;76,45;86,08;75,60;870,25;1872,36;52,21;22,52;1,32;1,32;38,74;504835,18;1767,81;0,00;NA;0,24;NA;19,12;0,67;NA;NA
2;ANTOFAGASTA;21;ANTOFAGASTA;2103;SIERRA GORDA;RURAL;10186;70,05;89,15;92,85;24,69;79,95;90,96;74,91;620,77;9255,08;56,97;28,22;5,64;16,93;36,50;1553008,14;1152,35;25,00;NA;0,24;NA;12,42;0,00;1,13;NA
2;ANTOFAGASTA;21;ANTOFAGASTA;2104;TALTAL;RURAL;13317;18,06;21,37;22,05;22,63;71,54;68,58;84,62;217,30;1072,00;45,75;54,32;0,72;1,45;27,74;840290,10;1132,58;8,33;NA;0,24;NA;4,27;0,50;0,14;NA
2;ANTOFAGASTA;22;EL LOA;2202;OLLAGÜE;RURAL;321;69,23;73,11;172,00;NA;59,71;NA;80,00;0,00;2826,86;70,11;70,16;NA;0,00;36,34;NA;NA;0,00;NA;1,76;NA;60,07;0,33;14,13;100,00
2;ANTOFAGASTA;22;EL LOA;2203;SAN PEDRO DE ATACAMA;RURAL;10996;17,44;20,17;98,50;NA;72,42;NA;80,58;412,18;1667,45;15,40;71,06;0,94;2,81;42,47;201328,59;NA;5,88;NA;1,76;4,40;33,91;0,50;0,47;11,11
2;ANTOFAGASTA;23;TOCOPILLA;2301;TOCOPILLA;RURAL;25186;3,16;4,66;4,92;28,54;87,10;92,70;85,99;467,85;1169,63;59,03;60,42;1,06;1,06;61,58;1671494,94;1767,81;23,81;NA;NA;NA;13,50;0,33;0,11;NA
2;ANTOFAGASTA;23;TOCOPILLA;2302;MARÍA ELENA;RURAL;6457;4,64;4,04;3,66;NA;78,65;NA;74,19;310,05;2037,50;3,76;32,16;1,48;2,95;80,52;453790,94;1541,96;0,00;NA;NA;NA;6,79;0,33;0,59;0,00
3;ATACAMA;31;COPIAPÓ;3102;CALDERA;RURAL;17662;9,35;11,02;82,05;16,94;72,72;79,51;88,83;520,09;2554,56;11,11;68,92;1,02;1,02;43,77;1452637,21;1136,51;5,00;NA;0,29;NA;21,21;0,50;0,25;0,00
3;ATACAMA;31;COPIAPÓ;3103;TIERRA AMARILLA;RURAL;14019;21,89;40,32;59,55;30,54;70,92;55,20;91,58;486,99;1801,86;27,11;23,95;NA;0,70;17,59;NA;1002,02;0,00;NA;0,29;0,07;3,90;0,17;0,14;0,00
3;ATACAMA;32;CHAÑARAL;3201;CHAÑARAL;RURAL;12219;8,09;10,19;10,58;11,72;83,52;82,50;87,94;479,12;1551,45;9,66;50,30;1,52;3,80;25,17;1633872,97;1296,53;10,53;NA;NA;0,23;19,01;0,50;1,22;NA
3;ATACAMA;32;CHAÑARAL;3202;DIEGO DE ALMAGRO;RURAL;13925;7,15;7,93;8,13;14,25;76,66;41,76;76,80;343,67;876,70;49,99;45,90;2,10;2,81;27,49;2576338,51;910,31;14,29;NA;NA;0,07;16,41;0,00;0,14;NA
3;ATACAMA;33;HUASCO;3301;VALLENAR;MIXTA;51917;8,01;10,79;11,28;13,63;83,26;82,52;87,05;559,21;1305,40;10,06;55,13;0,87;1,22;46,84;3672047,38;822,75;7,94;NA;0,24;NA;7,93;0,33;0,09;0,00
3;ATACAMA;33;HUASCO;3302;ALTO DEL CARMEN;RURAL;5299;52,33;75,10;109,98;22,37;67,78;NA;93,37;173,79;643,03;79,42;74,41;NA;3,48;43,00;NA;NA;0,00;NA;0,24;0,17;36,67;0,33;0,35;0,00
3;ATACAMA;33;HUASCO;3303;FREIRINA;RURAL;7041;39,63;53,14;70,64;43,26;68,21;44,42;92,40;555,63;749,45;41,95;75,60;1,29;2,58;29,10;418802,80;1092,13;6,67;NA;0,24;NA;29,20;0,33;0,26;NA
3;ATACAMA;33;HUASCO;3304;HUASCO;RURAL;10149;11,65;20,03;19,32;32,52;75,14;57,66;86,37;457,18;1828,73;16,43;49,89;0,88;2,64;60,49;959820,68;1092,13;11,76;NA;0,24;NA;8,35;0,33;0,44;NA
4;COQUIMBO;41;ELQUI;4103;ANDACOLLO;RURAL;11044;8,33;11,79;13,38;2,70;81,84;75,25;89,81;440,01;1269,25;57,29;61,79;0,85;2,54;38,26;420556,18;798,41;35,00;NA;0,28;0,08;26,99;0,33;0,42;NA
4;COQUIMBO;41;ELQUI;4104;LA HIGUERA;RURAL;4241;65,41;86,98;128,21;47,46;69,70;NA;95,16;513,62;1764,18;78,96;40,39;NA;2,23;48,66;NA;NA;5,88;NA;0,28;NA;39,08;0,33;0,45;NA
4;COQUIMBO;41;ELQUI;4105;PAIGUANO;RURAL;4497;12,22;42,73;46,37;35,84;82,14;10,29;93,03;703,62;1385,93;15,44;82,92;NA;6,40;83,13;NA;798,41;0,00;NA;0,28;NA;20,68;0,17;1,49;NA
4;COQUIMBO;41;ELQUI;4106;VICUÑA;RURAL;27771;15,27;23,05;27,62;12,06;87,84;43,91;90,95;566,86;1403,80;19,22;70,46;0,33;0,67;36,72;430714,82;629,97;0,00;NA;0,28;0,10;11,70;0,50;0,20;NA
4;COQUIMBO;42;CHOAPA;4201;ILLAPEL;RURAL;30848;4,47;12,22;14,23;6,06;81,14;62,68;86,11;234,05;638,32;7,09;66,21;0,91;0,61;51,69;2040132,93;798,41;2,56;NA;0,40;0,12;36,84;0,50;0,15;0,00
4;COQUIMBO;42;CHOAPA;4202;CANELA;RURAL;9093;14,36;40,82;96,97;8,08;52,95;8,29;91,91;240,89;680,77;20,15;66,32;1,05;3,14;41,36;359881,70;798,41;8,70;NA;0,40;NA;9,43;0,17;0,52;NA
4;COQUIMBO;42;CHOAPA;4203;LOS VILOS;RURAL;21382;6,23;19,55;20,80;21,43;77,16;61,79;89,65;498,56;1804,12;18,47;74,13;0,42;1,69;80,17;1066999,88;901,68;4,55;NA;0,40;0,17;11,07;0,33;0,30;0,00
4;COQUIMBO;42;CHOAPA;4204;SALAMANCA;RURAL;29347;4,06;22,61;24,28;17,40;83,85;38,09;84,72;487,07;691,44;17,81;44,82;0,34;1,02;68,13;703548,51;461,52;0,00;NA;0,40;0,10;28,75;0,17;0,20;NA
4;COQUIMBO;43;LIMARÍ;4302;COMBARBALÁ;RURAL;13322;17,92;28,38;35,34;7,34;68,33;34,77;90,76;187,14;496,65;21,65;83,66;0,72;1,44;39,92;599993,40;798,41;0,00;NA;0,30;NA;23,25;0,00;0,29;0,00
4;COQUIMBO;43;LIMARÍ;4303;MONTE PATRIA;RURAL;30751;16,29;38,81;97,27;31,21;83,64;38,85;93,68;389,49;935,38;23,75;80,11;0,31;0,61;45,27;267558,51;686,11;4,00;NA;0,30;0,06;26,50;0,50;0,09;0,00
4;COQUIMBO;43;LIMARÍ;4304;PUNITAQUI;RURAL;10956;15,76;42,35;64,37;7,35;60,54;41,73;93,23;260,78;651,94;28,41;72,77;0,81;3,26;16,87;206441,31;798,41;0,00;NA;0,30;NA;36,51;0,50;0,24;0,00
4;COQUIMBO;43;LIMARÍ;4305;RÍO HURTADO;RURAL;4278;43,97;97,80;123,28;24,66;79,19;NA;94,84;343,96;779,64;97,89;70,60;NA;2,29;34,45;NA;NA;0,00;NA;0,30;NA;36,00;0,00;0,69;0,00
5;VALPARAÍSO;51;VALPARAÍSO;5102;CASABLANCA;MIXTA;26867;11,99;13,41;16,19;1,76;79,40;54,61;86,04;358,64;1360,13;20,94;19,10;1,35;1,02;94,54;2535983,21;933,08;2,50;0,14;0,38;0,34;11,23;0,33;0,34;NA
5;VALPARAÍSO;51;VALPARAÍSO;5103;CONCÓN;MIXTA;42152;3,00;3,63;19,19;5,05;90,85;89,34;82,54;406,22;1437,87;5,64;13,04;1,07;1,50;95,39;2721251,72;933,08;0,00;NA;0,38;NA;9,05;0,83;0,06;NA
5;VALPARAÍSO;51;VALPARAÍSO;5104;JUAN FERNÁNDEZ;RURAL;926;12,96;12,96;NA;NA;81,00;NA;85,89;474,83;949,67;13,19;73,76;NA;9,50;NA;NA;NA;0,00;NA;0,38;NA;30,39;0,33;NA;NA
5;VALPARAÍSO;51;VALPARAÍSO;5105;PUCHUNCAVÍ;MIXTA;18546;7,78;13,18;32,28;9,08;57,49;9,31;91,50;853,32;2658,04;12,30;22,83;0,49;1,96;100,00;172422,47;801,45;3,23;NA;0,38;0,10;NA;0,33;0,20;0,00
5;VALPARAÍSO;51;VALPARAÍSO;5107;QUINTERO;MIXTA;31923;4,52;5,60;8,62;8,38;68,07;57,29;90,10;678,96;2036,88;7,93;70,01;0,81;1,36;100,00;555113,03;801,45;10,34;NA;0,38;0,05;6,98;0,17;0,38;NA
5;VALPARAÍSO;52;ISLA DE PASCUA;5201;ISLA DE PASCUA;RURAL;7750;15,24;15,84;17,66;NA;80,65;0,00;77,74;1077,56;2095,91;NA;97,27;2,37;1,18;33,86;1590511,43;547,62;11,11;NA;NA;5,45;15,28;0,33;0,59;100,00
5;VALPARAÍSO;53;LOS ANDES;5302;CALLE LARGA;MIXTA;14832;11,22;12,82;17,88;17,94;87,86;50,64;87,94;374,91;904,55;12,53;34,43;0,60;0,60;93,02;145144,63;683,14;5,56;NA;0,38;NA;10,89;0,33;0,12;NA
5;VALPARAÍSO;53;LOS ANDES;5303;RINCONADA;RURAL;10207;4,97;6,41;19,79;10,23;89,74;20,46;88,73;418,45;679,98;5,48;NA;NA;0,00;94,32;NA;683,14;0,00;NA;0,38;NA;NA;0,00;NA;NA
5;VALPARAÍSO;53;LOS ANDES;5304;SAN ESTEBAN;MIXTA;18855;8,62;10,75;14,99;13,77;87,17;44,58;91,36;315,01;758,88;10,69;60,43;NA;0,48;92,12;NA;683,14;0,00;0,00;0,38;0,14;5,58;0,50;NA;NA
5;VALPARAÍSO;54;PETORCA;5401;LA LIGUA;MIXTA;35390;5,41;9,14;10,19;11,86;86,31;49,43;89,35;558,53;1082,80;6,58;59,62;1,05;0,79;80,82;3263763,68;995,88;11,76;0,02;NA;0,37;7,35;0,17;0,21;NA
5;VALPARAÍSO;54;PETORCA;5402;CABILDO;MIXTA;19388;9,96;14,89;15,61;3,97;87,31;47,81;88,01;366,88;666,18;17,65;63,69;0,48;0,48;65,97;461553,41;861,36;0,00;0,00;NA;0,77;25,05;0,33;0,14;NA
5;VALPARAÍSO;54;PETORCA;5403;PAPUDO;RURAL;6356;6,14;6,83;25,59;10,93;88,75;33,64;90,52;462,52;1515,15;4,62;24,13;NA;3,19;92,79;NA;801,45;0,00;NA;NA;NA;21,05;0,33;1,12;NA
5;VALPARAÍSO;54;PETORCA;5404;PETORCA;RURAL;9826;12,20;16,75;19,32;16,67;84,03;18,26;92,17;349,39;443,81;20,06;51,17;0,94;1,89;60,61;159760,52;772,25;3,45;NA;NA;0,85;34,18;0,17;0,76;100,00
5;VALPARAÍSO;54;PETORCA;5405;ZAPALLAR;RURAL;7339;6,35;11,95;33,09;8,59;76,61;17,82;83,15;580,25;1888,89;12,76;6,87;1,23;3,70;90,16;NA;801,45;7,69;0,16;NA;NA;18,02;0,33;0,25;NA
5;VALPARAÍSO;55;QUILLOTA;5503;HIJUELAS;MIXTA;17988;4,23;7,96;10,01;10,36;83,30;24,50;93,03;317,41;947,03;6,21;49,54;0,52;1,04;88,23;123405,91;683,14;0,00;0,05;NA;NA;5,41;0,33;0,10;NA
5;VALPARAÍSO;55;QUILLOTA;5504;LA CRUZ;MIXTA;22098;3,35;4,14;12,68;4,13;90,38;60,79;87,52;380,65;484,47;4,27;43,58;NA;0,77;93,46;NA;683,14;0,00;NA;NA;NA;9,23;0,33;0,08;NA
5;VALPARAÍSO;55;QUILLOTA;5506;NOGALES;RURAL;22120;3,84;4,20;12,22;12,22;87,21;28,61;90,09;258,92;819,22;4,09;54,53;0,85;1,27;87,95;206328,80;683,14;19,23;NA;NA;0,08;11,42;0,33;0,17;NA
5;VALPARAÍSO;56;SAN ANTONIO;5602;ALGARROBO;MIXTA;13817;6,00;8,71;34,18;6,92;63,89;61,76;84,74;615,44;2610,78;6,35;17,53;0,65;1,94;87,80;242017,23;1783,80;6,67;NA;NA;0,06;NA;0,17;0,45;NA
5;VALPARAÍSO;56;SAN ANTONIO;5603;CARTAGENA;MIXTA;22738;3,45;3,74;11,96;11,18;80,71;48,10;91,69;701,14;2572,15;3,85;73,98;0,39;1,16;88,59;182448,42;894,61;27,59;NA;NA;0,12;15,26;0,67;0,19;NA
5;VALPARAÍSO;56;SAN ANTONIO;5604;EL QUISCO;MIXTA;15955;4,02;5,91;32,85;4,33;79,04;45,07;88,09;559,37;3023,93;4,36;81,68;0,55;2,22;100,00;415579,28;1630,30;11,76;NA;NA;NA;27,08;0,50;0,28;NA
5;VALPARAÍSO;56;SAN ANTONIO;5605;EL TABO;MIXTA;13286;4,74;7,08;22,69;10,33;60,79;28,54;94,85;973,47;3681,36;5,02;83,67;0,69;1,37;86,41;271855,99;1262,46;0,00;NA;NA;0,34;8,71;0,50;0,55;NA
5;VALPARAÍSO;56;SAN ANTONIO;5606;SANTO DOMINGO;RURAL;10900;8,49;10,24;23,38;12,20;60,19;52,11;76,47;288,64;964,87;11,46;7,64;NA;1,65;91,10;NA;726,92;26,32;0,04;NA;0,33;11,79;0,33;0,33;NA
5;VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5702;CATEMU;RURAL;13998;7,48;11,50;23,23;15,14;90,30;26,53;92,27;332,03;1015,63;10,20;68,85;0,65;1,30;93,58;NA;683,14;13,64;0,03;0,46;NA;NA;0,50;0,07;NA
5;VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5703;LLAILLAY;MIXTA;24608;5,18;7,55;7,98;7,74;91,13;62,34;89,85;332,59;919,28;9,73;59,54;0,37;1,12;96,00;512236,03;683,14;13,89;NA;0,46;0,04;10,91;0,17;0,07;NA
5;VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5704;PANQUEHUE;RURAL;7273;5,10;11,76;20,56;10,29;77,52;NA;93,07;532,88;935,79;9,25;53,81;NA;1,30;96,68;NA;NA;18,75;NA;0,46;0,13;21,19;0,50;0,26;NA
5;VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5705;PUTAENDO;MIXTA;16754;20,46;24,18;25,82;14,23;89,53;27,33;90,95;613,46;607,83;22,19;72,91;0,56;1,13;93,82;358782,43;683,14;7,14;NA;0,46;0,28;NA;0,33;0,06;NA
5;VALPARAÍSO;57;SAN FELIPE DE ACONCAGUA;5706;SANTA MARÍA;MIXTA;15241;4,66;5,90;13,56;11,64;89,86;15,25;91,12;574,40;562,31;4,87;51,67;0,60;1,21;87,15;227233,40;683,14;5,00;0,24;0,46;NA;16,08;0,33;0,18;NA
5;VALPARAÍSO;58;MARGA MARGA;5802;LIMACHE;MIXTA;46121;3,49;4,34;8,20;5,58;85,85;63,06;84,39;360,83;1032,93;7,56;55,71;0,59;0,40;86,20;2581284,53;683,14;6,35;NA;NA;NA;12,33;0,33;0,08;NA
5;VALPARAÍSO;58;MARGA MARGA;5803;OLMUÉ;RURAL;17516;5,97;9,95;20,61;15,32;68,33;NA;90,80;317,38;1034,04;7,85;50,15;0,51;1,54;62,58;163625,17;NA;4,35;NA;NA;0,15;30,10;0,17;0,05;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6102;CODEGUA;MIXTA;12988;6,68;9,73;15,76;20,87;89,65;28,09;93,56;386,05;1298,52;9,55;55,60;NA;1,40;82,79;NA;562,75;46,67;NA;0,51;0,42;7,65;0,33;0,21;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6103;COINCO;RURAL;7359;7,57;10,06;9,98;30,07;87,69;5,40;90,89;342,16;684,32;12,79;66,34;NA;2,53;91,14;NA;562,75;11,11;NA;0,51;NA;17,36;0,33;0,25;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6104;COLTAUCO;MIXTA;19597;4,74;10,94;21,02;31,81;89,50;11,75;90,70;367,32;720,70;5,35;73,12;0,46;0,93;93,62;214809,06;562,75;0,00;0,03;0,51;0,05;21,57;0,50;0,14;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6105;DOÑIHUE;MIXTA;20887;3,56;4,25;13,04;18,91;91,21;44,56;86,62;483,37;1027,70;4,67;60,38;0,44;1,31;95,27;559124,41;562,75;14,29;0,05;0,51;NA;14,37;0,33;0,04;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6106;GRANEROS;MIXTA;33437;2,43;3,33;4,79;15,06;93,19;77,80;88,44;394,89;1603,92;11,52;59,00;0,27;0,54;95,85;524104,27;588,03;4,76;NA;0,51;0,03;20,96;0,50;0,11;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6107;LAS CABRAS;RURAL;24640;10,47;20,07;32,07;36,37;86,44;28,00;88,87;595,55;891,47;12,80;31,48;0,37;1,85;80,65;348453,71;562,75;5,00;0,57;0,51;0,78;10,65;0,33;0,07;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6109;MALLOA;RURAL;13407;5,53;9,79;13,34;13,70;92,61;25,72;95,20;492,51;1055,37;5,48;58,12;0,70;2,11;89,39;214035,13;562,75;12,50;0,14;0,51;0,07;11,61;0,33;0,07;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6110;MOSTAZAL;MIXTA;25343;7,27;9,38;18,06;19,61;87,04;52,97;91,60;392,58;2459,93;8,93;35,86;0,36;0,36;93,77;197887,38;562,75;27,59;0,07;0,51;0,11;7,13;0,33;0,25;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6111;OLIVAR;MIXTA;13608;3,08;4,13;7,81;17,60;94,50;13,57;90,90;325,73;936,48;2,71;49,92;0,68;2,71;93,37;212047,96;540,63;14,29;NA;0,51;NA;9,91;0,17;0,34;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6112;PEUMO;MIXTA;14313;5,01;6,51;7,93;18,53;93,27;NA;90,56;366,98;660,57;12,35;56,23;0,67;1,33;85,64;541781,18;562,75;21,05;NA;0,51;NA;19,02;0,17;0,13;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6113;PICHIDEGUA;RURAL;19714;7,34;13,17;14,01;39,37;93,98;19,71;92,72;417,17;460,32;11,14;64,77;0,48;0,96;86,27;218929,59;562,75;13,79;0,74;0,51;0,82;7,43;0,33;0,19;NA
6;LIBERTADOR GENERAL BERNARDO O'HIGGINS;61;CACHAPOAL;6114;QUINTA DE TILCOCO;MIXTA;13002;7,44;9,57;22,63;19,66;94,62;NA;91,71;357,27;564,49;8,33;60,23;0,71;1,43;90,56;237631,64;562,75;14,29;NA;0,51;NA;14,79;0,33;0,36;NA
